list,is_filler,item,condition,NP_size,sentence,EN translation,context,question,correct,wrong,answer
1,no,1,SR,short,Le_baron qui_avait_détesté_le_roi dans_sa_jeunesse a_hérité d'un_château_en_Bourgogne,The baron who had hated the king in his youth has inherited a castle in Burgundy.,Il y a du nouveau à la cour:,Le baron possède-t-il un château en Bourgogne ? ,Oui,Non,Je ne sais pas
1,no,2,OR,short,L'épicier que_le_maire_avait_croisé au_marché est_parti en_retraite,The grocer who the mayor had run into at the market has retired.,Il y a du changement au village:,L'épicier a-t-il arrêté de travailler ?,Oui,Non,Je ne sais pas
1,no,3,IOR,short,L'homme qu'avait_accompagné_l'étranger jusqu'à_la_gare est_parti rapidement,The man who the foreigner had accompanied to the station has left quickly.,Il n'y a plus personne sur le quai:,L'étranger est-il allé jusqu'à la gare ?,Oui,Non,Je ne sais pas
1,no,4,SR,short,Le_chat qui_avait_poursuivi_le_chien dans_toute_la_maison a_sali la_moquette,The cat who had chased the dog all over the house has soiled the carpet.,S'occuper d'animaux n'est pas de tout repos:,Le chat a-t-il sali la moquette ?,Oui,Non,Je ne sais pas
1,no,5,OR,short,Le_douanier que_l'officier_avait_soudoyé à_plusieurs_reprises a_perdu son_procès,The custom officier who the officer had bribed on several occasions lost his case.,Victoire contre la corruption et la contrebande:,Le douanier a-t-il été soudoyé ?,Oui,Non,Je ne sais pas
1,no,6,IOR,short,Le_cuisinier qu'avait_défié_le_chef devant_tout_le_personnel a_raté son_soufflé,The cook who the chef had challenged in front of all the staff messed up his soufflé.,L'ambiance est pesante au restaurant:,Le cuisinier a-t-il raté son plat ?,Oui,Non,Je ne sais pas
1,no,7,SR,short,L'arbitre qui_avait_giflé_le_joueur pendant_le_match a_rendu son_sifflet,The referee who had slapped the player during the game has returned his whistle.,Le tournoi de football fut mouvementé:,L'arbitre a-t-il continué à arbitrer ?,Non,Oui,Je ne sais pas
1,no,8,OR,short,L'artiste que_le_promoteur_avait_abandonné juste_avant_le_vernissage n'a_pas_pu exposer,The artist who the promoter let down right before the vernissage has not been able to exhibit. ,La galerie d'art a perdu beaucoup d'argent:,L'artiste a-t-il pu exposer ?,Non,Oui,Je ne sais pas
1,no,9,IOR,short,L'étudiant qu'avait_interrogé_le_professeur pendant_le_cours a_reçu la_note_maximale,The student who the professor had questioned during the lesson has received the maximal grade.,L'université est un lieu d'échange:,L'étudiant a-t-il raté son examen ?,Non,Oui,Je ne sais pas
1,no,10,SR,short,Le_défenseur qui_avait_félicité_le_gardien après_la_dernière_action a_été_nommé l'homme_du_match,The defender who had congratulated the goalkeeper after the last action has been named man of the match.,Manchester United finit sa saison en beauté:,Le gardien a-t-il été nommé l'homme du match ?,Non,Oui,Je ne sais pas
1,no,11,OR,short,Le_prince que_le_comte_avait_rencontré au_bal_de_la_Saint-Nicolas a_obtenu de_nouvelles_terres,The prince who the count had met at the Saint-Nicolas bal has obtained new lands.,Le roi devrait s'inquiéter pour son royaume:,Le comte a-t-il obtenu de nouvelles terres ?,Non,Oui,Je ne sais pas
1,no,12,IOR,short,Le_réalisateur qu'avait_contacté_le_producteur au_sujet_de_son_dernier_film a_terminé le_tournage_à_temps,The director who the producer had contacted about his last film has finished the shoot on time.,Rareté dans le monde du cinéma:,Le réalisateur a-t-il interrompu le tournage de son film ?,Non,Oui,Je ne sais pas
1,no,13,SR,long,Le_député qui_avait_critiqué_le_président_de_la_République_française dans_une_interview est_passé à_la_télévision,The deputee who had criticised the president of the French Republic in an interview has appeared on TV.,La politique est un spectacle:,Le député est-il passé à la télévision ?,Oui,Non,Je ne sais pas
1,no,14,OR,long,L'avocat que_le_juge_d'instruction_du_tribunal_judiciaire_avait_appelé sur_son_portable n'est_pas_venu_au_procès,The lawyer who the investigating judge of the judicial court had called on his cell phone has not come to the trial.,Nouveaux déroulements dans l'affaire Dumont:,L'avocat a-t-il été appelé sur son portable ?,Oui,Non,Je ne sais pas
1,no,15,IOR,long,Le_journaliste qu'avait_provoqué_le_ministre_des_Affaires_étrangères dans_une_émission_de_radio a_démissionné de_son_poste,The journalist who the minister of Foreign Affairs had provoked in a radio programme has resigned from his position.,Le journal régional perd un précieux collaborateur:,Le journaliste a-t-il donné sa démission ?,Oui,Non,Je ne sais pas
1,no,16,SR,long,Le_secrétaire qui_avait_choqué_le_président_du_conseil_d'administration pendant_une_réunion a_mis_fin à_son_contrat,The secretary who had shocked the chairman of the board during a meeting has terminated his contract.,Il y a du changement dans l'entreprise:,Le secrétaire a-t-il été choquant ?,Oui,Non,Je ne sais pas
