"is_filler",item,"condition","NP_size","sentence",EN translation,"context","question","correct","wrong","answer"
"no",1,"IOR","short","Le_baron qu'avait_détesté_le_roi dans_sa_jeunesse a_hérité d'un_château_en_Bourgogne",The baron who the king had hated in his youth has inherited a castle in Burgundy.,"Il y a du nouveau à la cour:","Le baron possède-t-il un château en Bourgogne ? ","Oui","Non","Je ne sais pas"
"no",2,"SR","short","L'épicier qui_avait_croisé_le maire au_marché est parti_en_retraite",The grocer who had run into the mayor at the market has retired.,"Il y a du changement au village:","L'épicier a-t-il arrêté de travailler ?","Oui","Non","Je ne sais pas"
"no",3,"OR","short","L'homme que_l'étranger_avait_accompagné jusqu'à_la_gare est_parti rapidement",The man who the foreigner had accompanied to the station has left quickly.,"Il n'y a plus personne sur le quai:","L'étranger est-il allé jusqu'à la gare ?","Oui","Non","Je ne sais pas"
"no",4,"IOR","short","Le chat qui_ avait_poursuivi_le_chien dans_toute_la_maison a_sali la_moquette",The cat who the dog had chased all over the house has soiled the carpet.,"S'occuper d'animaux n'est pas de tout repos:","Le chat a-t-il sali la moquette ?","Oui","Non","Je ne sais pas"
"no",5,"SR","short","Le_douanier qui_avait_soudoyé_l'officier à_plusieurs_reprises a_perdu son_procès",The custom officier who had bribed the officer on several occasions lost his case.,"Victoire contre la corruption et la contrebande:","L'officier a-t-il été soudoyé ?","Oui","Non","Je ne sais pas"
"no",6,"OR","short","Le_cuisinier que_le_chef_avait_défié devant_tout_le_personnel a_raté son_soufflé",The cook who the chef had challenged in front of all the staff messed up his soufflé.,"L'ambiance est pesante au restaurant:","Le cuisinier a-t-il raté son plat ?","Oui","Non","Je ne sais pas"
"no",7,"IOR","short","L'arbitre qu'avait_giflé_le_joueur pendant_le_match a_rendu son_sifflet",The referee who the player had slapped during the game has returned his whistle.,"Le tournoi de football fut mouvementé:","L'arbitre a-t-il continué à arbitrer ?","Non","Oui","Je ne sais pas"
"no",8,"SR","short","L'artiste qui_avait_abandonné_le promoteur juste_avant_le_vernissage n'a_pas_pu exposer",The artist who let down the promoter right before the vernissage has not been able to exhibit. ,"La galerie d'art a perdu beaucoup d'argent:","L'artiste a-t-il pu exposer ?","Non","Oui","Je ne sais pas"
"no",9,"OR","short","L'étudiant que_le professeur_avait_interrogé pendant_le_cours a_reçu la_note_maximale",The student who the professor had questioned during the lesson has received the maximal grade.,"L'université est un lieu d'échange:","L'étudiant a-t-il raté son examen ?","Non","Oui","Je ne sais pas"
"no",10,"IOR","short","Le_défenseur qu'avait_félicité_le_gardien après_la_dernière_action a_été_nommé l'homme_du_match",The defender who the goalkeeper had congratulated after the last action has been named man of the match.,"Manchester United finit sa saison en beauté:","Le gardien a-t-il été nommé l'homme du match ?","Non","Oui","Je ne sais pas"
"no",11,"SR","short","Le_prince qui_avait_rencontré_le_comte au_bal_de_la_Saint-Nicolas a_obtenu de_nouvelles_terres",The prince who had met the count at the Saint-Nicolas bal has obtained new lands.,"Le roi devrait s'inquiéter pour son royaume:","Le comte a-t-il obtenu de nouvelles terres ?","Non","Oui","Je ne sais pas"
"no",12,"OR","short","Le_réalisateur que_le_producteur_avait_contacté au_sujet_de_son_dernier film a_terminé le_tournage_à_temps",The director who the producer had contacted about his last film has finished the shoot on time.,"Rareté dans le monde du cinéma:","Le réalisateur a-t-il interrompu le tournage de son film ?","Non","Oui","Je ne sais pas"
"no",13,"IOR","long","Le_député qu'avait_critiqué_le_président_de_la_République_française dans_une_interview est_passé à_la_télévision",The deputee who the president of the French Republic had criticised in an interview has appeared on TV.,"La politique est un spectacle:","Le député est-il passé à la télévision ?","Oui","Non","Je ne sais pas"
"no",14,"SR","long","L'avocat qui_avait_appelé_le_juge_d'instruction_du_tribunal_judiciaire sur_son_portable n'est_pas_venu_au_procès",The lawyer who had called the investigating judge of the judicial court on his cell phone has not come to the trial.,"Nouveaux déroulements dans l'affaire Dumont:","Le juge a-t-il été appelé sur son portable ?","Oui","Non","Je ne sais pas"
"no",15,"OR","long","Le_journaliste que_le_ministre_des_Affaires_étrangères_avait_provoqué dans_une_émission_de_radio a_démissionné de_son_poste",The journalist who the minister of Foreign Affairs had provoked in a radio programme has resigned from his position.,"Le journal régional perd un précieux collaborateur:","Le journaliste a-t-il donné sa démission ?","Oui","Non","Je ne sais pas"
"no",16,"IOR","long","Le_secrétaire qu'avait_choqué_le_président_du_conseil_d'administration pendant_une_réunion a_mis_fin à_son_contrat",The secretary who the chairman of the board had shocked during a meeting has terminated his contract.,"Il y a du changement dans l'entreprise:","Le secrétaire a-t-il été choqué ?","Oui","Non","Je ne sais pas"
"no",17,"SR","long","Le_salarié qui_avait_insulté_le_directeur_des_ressources_humaines dans_un_e-mail a_apaisé sa_colère",The (salaried) employee who had insulted the director of human resources in an e-mail has appeased his anger.,"La situation s'est améliorée au bureau:","Le DRH a-t-il été insulté ?","Oui","Non","Je ne sais pas"
"no",18,"OR","long","L'employé que_le_directeur_de_la_multinationale_avait_ruiné en_révélant_certains_secrets a_dû vendre_sa_maison",The employee who the director of the multinational company had ruined by revealing some secrets has had to sell his house.,"Découvrir la vérité peut être dangereux:","L'employé a-t-il été ruiné ?","Oui","Non","Je ne sais pas"
"no",19,"IOR","long","Le_musicien qu'avait_inspiré_le_compositeur_de_musique_classique au_début_de_sa_carrière a_sorti un_nouvel_album",The musician who the classical composer had inspired at the beginning of his career has released a new album.,"La Fête de la musique arrive à grands pas:","Le compositeur de musique classique a-t-il sorti un nouvel album ?","Non","Oui","Je ne sais pas"
"no",20,"SR","long","Le_banquier qui_avait_arnaqué_le_chef_des_services_financiers pendant_plusieurs_années a_été licencié",The banker who had scammed the chief financial officer for several years has been laid off.,"De nouvelles révélations sont tombées à propos d'UBS:","Le banquier a-t-il démissionné ?","Non","Oui","Je ne sais pas"
"no",21,"OR","long","L'entraîneur que_le_président_de_la_Fédération_française_de_rugby_avait_accusé suite_à _une_défaite_a_changé de_club",The coach who the president of the French Federation of Rugby had accused following a defeat has changed clubs.,"Le monde du ballon ovale est en mouvement:","L'entraîneur a-t-il  tenu le président de la Fédération française de rugby responsable de sa victoire ?","Non","Oui","Je ne sais pas"
"no",22,"IOR","long","Le_chanteur qu'avait_remplacé_le_candidat_au_Concours_Eurovision au_dernier_moment a_perdu l'appui_de_ses_fans",The singer who the candidate to the Eurovision contest had replaced at the last minute has lost the support of his fans.,"L'industrie du spectacle peut être cruelle:","Le candidat à l'Eurovision a-t-il été remplacé ?","Non","Oui","Je ne sais pas"
